id,label,date,l_scc,r_scc,l_scc_class,r_scc_class,full_path,crop_path
2,1,2023-12-06,2971003,51685,4,1,data\raw\TIDS Dataset\TIDS_full_images\scm\2.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\2.jpg
3,1,2023-12-06,4553077,2362513,4,4,data\raw\TIDS Dataset\TIDS_full_images\scm\3.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\3.jpg
11,1,2023-12-06,1804760,82770,3,1,data\raw\TIDS Dataset\TIDS_full_images\scm\11.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\11.jpg
13,1,2023-12-06,430951,5065047,2,5,data\raw\TIDS Dataset\TIDS_full_images\scm\13.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\13.jpg
14,1,2023-12-06,3516080,736572,4,3,data\raw\TIDS Dataset\TIDS_full_images\scm\14.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\14.jpg
15,1,2023-12-06,61622,2849533,1,4,data\raw\TIDS Dataset\TIDS_full_images\scm\15.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\15.jpg
16,0,2024-01-17,282000,137000,2,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\16.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\16.jpg
17,0,2024-01-17,288000,364000,2,2,data\raw\TIDS Dataset\TIDS_full_images\healthy\17.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\17.jpg
23,1,2024-01-17,10767000,76000,5,1,data\raw\TIDS Dataset\TIDS_full_images\scm\23.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\23.jpg
26,0,2024-01-17,83000,81000,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\26.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\26.jpg
31,0,2024-01-17,33000,85000,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\31.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\31.jpg
32,1,2024-01-17,8303000,364000,5,2,data\raw\TIDS Dataset\TIDS_full_images\scm\32.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\32.jpg
36,0,2024-01-17,191000,51000,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\36.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\36.jpg
37,1,2024-01-17,6537000,170000,5,1,data\raw\TIDS Dataset\TIDS_full_images\scm\37.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\37.jpg
39,1,2024-01-17,176000,9994000,1,5,data\raw\TIDS Dataset\TIDS_full_images\scm\39.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\39.jpg
42,1,2024-02-15,1562961,3384809,4,4,data\raw\TIDS Dataset\TIDS_full_images\scm\42.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\42.jpg
45,1,2024-02-15,15514434,243500,5,1,data\raw\TIDS Dataset\TIDS_full_images\scm\45.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\45.jpg
46,1,2024-02-15,52545,7037526,1,5,data\raw\TIDS Dataset\TIDS_full_images\scm\46.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\46.jpg
47,1,2024-02-15,2406804,8811650,4,5,data\raw\TIDS Dataset\TIDS_full_images\scm\47.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\47.jpg
51,1,2024-02-15,2244984,3158388,4,4,data\raw\TIDS Dataset\TIDS_full_images\scm\51.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\51.jpg
52,1,2024-02-15,2099554,268430,4,1,data\raw\TIDS Dataset\TIDS_full_images\scm\52.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\52.jpg
53,0,2024-02-15,63855,91793,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\53.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\53.jpg
58,1,2024-02-15,7788092,660608,5,3,data\raw\TIDS Dataset\TIDS_full_images\scm\58.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\58.jpg
60,1,2024-02-15,14823791,132656,5,1,data\raw\TIDS Dataset\TIDS_full_images\scm\60.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\60.jpg
63,0,2024-02-15,42742,67708,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\63.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\63.jpg
64,1,2024-02-15,1208000,6318000,3,5,data\raw\TIDS Dataset\TIDS_full_images\scm\64.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\64.jpg
66,1,2024-02-15,132000,736000,1,3,data\raw\TIDS Dataset\TIDS_full_images\scm\66.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\66.jpg
74,0,2004-02-20,99121,107028,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\74.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\74.jpg
77,1,2004-02-20,482990,2329708,2,4,data\raw\TIDS Dataset\TIDS_full_images\scm\77.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\77.jpg
78,1,2004-02-20,530741,196335,3,1,data\raw\TIDS Dataset\TIDS_full_images\scm\78.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\78.jpg
79,0,2004-02-20,45695,69096,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\79.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\79.jpg
81,1,2004-02-20,177368,1735317,1,4,data\raw\TIDS Dataset\TIDS_full_images\scm\81.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\81.jpg
83,1,2004-02-20,2265838,197239,4,1,data\raw\TIDS Dataset\TIDS_full_images\scm\83.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\83.jpg
84,0,2004-02-20,157093,62925,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\84.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\84.jpg
85,0,2004-02-20,71975,55129,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\85.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\85.jpg
86,0,2004-02-20,136829,73207,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\86.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\86.jpg
87,1,2004-02-20,81565,3253955,1,4,data\raw\TIDS Dataset\TIDS_full_images\scm\87.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\87.jpg
88,1,2004-02-20,1564281,65594,3,1,data\raw\TIDS Dataset\TIDS_full_images\scm\88.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\88.jpg
91,0,2004-02-20,50763,100475,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\91.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\91.jpg
93,1,2004-02-20,1837407,179660,4,1,data\raw\TIDS Dataset\TIDS_full_images\scm\93.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\93.jpg
94,1,2004-02-20,3310541,3002541,4,4,data\raw\TIDS Dataset\TIDS_full_images\scm\94.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\94.jpg
97,1,2024-02-26,4349545,130003,4,1,data\raw\TIDS Dataset\TIDS_full_images\scm\97.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\97.jpg
98,1,2024-02-26,908632,22823,3,1,data\raw\TIDS Dataset\TIDS_full_images\scm\98.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\98.jpg
105,0,2024-02-26,27656,69839,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\105.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\105.jpg
109,0,2024-02-26,70314,179258,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\109.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\109.jpg
111,1,2024-02-26,40647,1058987,1,3,data\raw\TIDS Dataset\TIDS_full_images\scm\111.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\111.jpg
112,1,2024-02-26,1830997,97773,4,1,data\raw\TIDS Dataset\TIDS_full_images\scm\112.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\112.jpg
115,1,2024-02-26,1643653,3018633,4,4,data\raw\TIDS Dataset\TIDS_full_images\scm\115.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\115.jpg
116,0,2024-02-26,41132,82428,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\116.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\116.jpg
120,1,2024-02-26,4046003,456779,4,2,data\raw\TIDS Dataset\TIDS_full_images\scm\120.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\120.jpg
122,1,2024-02-26,1430895,1385063,3,3,data\raw\TIDS Dataset\TIDS_full_images\scm\122.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\122.jpg
126,1,2024-02-26,2842023,197443,4,1,data\raw\TIDS Dataset\TIDS_full_images\scm\126.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\126.jpg
127,1,2024-02-26,7763261,5663685,5,5,data\raw\TIDS Dataset\TIDS_full_images\scm\127.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\127.jpg
128,0,2024-02-26,85021,85691,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\128.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\128.jpg
129,0,2024-02-26,71630,100210,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\129.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\129.jpg
130,0,2024-02-26,60107,95227,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\130.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\130.jpg
133,1,2024-02-26,1550861,143774,4,1,data\raw\TIDS Dataset\TIDS_full_images\scm\133.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\133.jpg
136,1,2024-02-26,7054903,414680,5,2,data\raw\TIDS Dataset\TIDS_full_images\scm\136.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\136.jpg
137,1,2024-02-26,1757783,69467,4,1,data\raw\TIDS Dataset\TIDS_full_images\scm\137.jpg,data\raw\TIDS Dataset\TIDS_cropped\scm\137.jpg
143,0,2024-02-28,48568,48204,1,1,data\raw\TIDS Dataset\TIDS_full_images\healthy\143.jpg,data\raw\TIDS Dataset\TIDS_cropped\healthy\143.jpg
